,content,predicted,ground,star,item,brand
12315,Máy này tuyệt lắm. Quá tốt cho 1 dòng điện thoại cơ bản. Mình rất thích Nokia và mua rất nhiều mẫu cơ bản từ 105 tới 150 rồi 216 nhưng ưng ý nhất là con 130 này.,1,1,5,nokia-130,nokia
12316,"Thiet ke dep, camera ro net.",1,1,4,samsung-galaxy-s6-edge,samsung
12317,"Máy tốt đa nhiệm ổn, camera cực đỉnh ăn đứt các máy tầm giá 3-4 tr .... vừa túi tiền có mỗi tội là bộ nhớ ít quá 😘😘😘😘😘",1,1,5,itel-s11-plus,itel
12318,Sản phẩm dùng rất tốt. Bền đẹp nhỏ gọn dùng được 2 sim. Pin dùng rất bền. Thích nhất chế độ bảo hành của siêu thị,1,1,5,nokia-105-2017,nokia
12319,Tôi mới mua được 3 tháng lúc đầu về chơi liên quân rất mượt nhưng dạo gần đây sao bị lác quá chạy ko nổi,0,0,1,samsung-galaxy-j4,samsung
12320,Máy tốt nhưng mở khóa khuôn mặt hơi lâu phải đợi khoảng Mấy giây. chơi liên quân cũng được dung lượng pin 4030 mAh cũng được 1 ngày ko qua được ngày thứ hai camera cũng tạm được,1,1,4,vivo-y91c,vivo
12321,Bắt wifi quá kém. Không hiểu sao tốc độ wifi kém hơn cả con lenovo a369i cổ nữa 😑,0,0,2,realme-2-4gb-64gb,realme
12322,"Máy xài cực kỳ mượt, thao tác nhanh, đơn giản, rất thích sản phẩm của Apple. Camera chụp quá đẹp, pin không còn nhanh hết như ngày xưa nữa.",1,1,5,iphone-6s-plus-64gb,iphone
12323,Camera trước chụp hình xấu . Bộ nhớ máy thấp nên ko lưu dc nhiều ứng dụng game . Máy chạy ko mượt hay đơ. Khi nghe dt phải chạm 2 lần để mở khóa hơi,0,0,2,samsung-galaxy-core-2-g355,samsung
12324,Cần cập nhật phiên bản chuyển ứng dụng vào thẻ SD. Hiện tại thì không thể chuyển bất kì ứng dụng nào vào thẻ SD. Mong nhà phát hành sớm nâng cấp,1,1,4,vivo-y71,vivo
12325,Cập nhật lên Miu 10 máy xài rất ok. Chơi PUBG khá mượt. Pin rất tốt. Trong tâm giá này thì cấu hình máy quá ok so với mặt bằng sản phẩm.,1,1,5,xiaomi-redmi-note-5,xiaomi
12326,"Mình mua Nokia 1 online. Nhân viên tư vấn nhiệt tình, nhân viên giao hàng dễ thương. Đánh giá máy: màn hình, mặt lưng, pin và hệ điều hành rất tốt, mượt và nhanh, bản thân mình thấy phù hợp giá tiền. Máy Nokia 1 màn hình sắc nét và rõ, cảm ứng tốt. Mình không chơi game mà chỉ dùng nghe gọi, lên mạng và nghe nhạc. Máy lâu hết pin so với nhu cầu sử dụng của mình. Nhìn chung máy rất tốt cho học sinh, người lớn tuổi, chữ to rõ có thể điều chỉnh, âm thanh mặc định (chuông, âm báo) rất hay nhiều bài để lựa chọn, không chói tai. Các anh/chị làm việc hay đi ngoài đường nhưng vẫn cần các như cầu liên lạc zalo, facebook, giải trí... hoặc cần máy nhỏ gọn nhiều tính năng giá cả hợp lý, tiện liên lạc 2 sim thì nên mua nhé.",1,1,5,nokia-1,nokia
12327,Bản 6gb ram mà hệ thống chiếm hết 3gb mấy thì còn gì nữa máy rất nóng mặc dù chỉ lướt face hoặc xem phim cam thì chỉ ở mức tạm pin dù ko sài mà vẫn tụt như tụt quần sạc thì lúc nhận lúc ko qa chán lun,0,0,2,samsung-galaxy-a50-128gb,samsung
12328,"chơi game tôt thật, chụp hình thì số 1. Iphone với tôi là nhất. Lần sau có đổi chắc cũng mua iphone xài",1,1,4,iphone-7-256gb,iphone
12329,Đã mua 2 tháng rưỡi Lúc đầu pin khá là trâu Bây giờ đỡ trâu rồi. Cấu hình nhanh k bị lag khi chơi game,1,1,5,samsung-galaxy-a30,samsung
12330,"Chất lượng tốt . Sản phẩm rất hài lòng . Đt đẹp, giá tiền này hợp lý . Dễ xài ai cũng có thể mua và sử dụng . Nhân viên hỗ trợ chu đáo.",1,1,5,oppo-a71-mau-xanh-2018,oppo
12331,Mới mua. Nói chung mượt . Mình không chơi game Về sau thi chưa biết. Đánh giá sau,1,1,5,vivo-v11i,vivo
12332,"- Máy cấu hình rất mượt, sử dụng được 3 tháng không thấy hiện tượng giật lag. - Tính chất công việc, spen hỗ trợ việc ghi chép rất nhiều. - Chạy ứng dụng nặng, chạy ngầm liên tục pin vẫn trâu (wifi, chạy ngầm liên tục khoảng 5 giờ) - Nói chung rất OK.",1,1,5,samsung-galaxy-note-5,samsung
12333,Nhân viên tư vấn nhiệt tình nhưng hàng thiếu phụ kiện tai nghe.hộp không nguyên seal.,1,1,2,realme-3,realme
12334,Máy xài ổn pin lên mạng trung bình 1h là 11% pin. Cảm ứng mượt. Mua dc 1 tuần mọi thứ đều OK,1,1,4,huawei-y9-2019,huawei
12335,Tệ hại 4g thì chập chờn loa có tình trạng rè nhẹ Mặc dù 4G đã bật nhưng kết nối rất kém,0,0,1,xiaomi-mi-a1,xiaomi
12336,Mới mua cách đây 3 hôm máy chạy mượt nhưng mà có đều .Khi không xài điện thoại tuột đến 2/3 % pin nhưng củng chấp nhận được.,1,1,4,samsung-galaxy-j3-lte,samsung
12337,"cảm ứng nhạy, chụp hình rõ nét, pin xài cực lâu. quá tuyệt.ngoài mong đợi.",1,1,5,vivo-1610-y55s,vivo
12338,"nhìn cái màn hình chẳng ưa, mờ mờ tối tối, còn camera thì thôi rồi có cũng như không, dùng lướt web đọc báo suốt ngày chứ chẳng thể làm gì khác.",0,0,3,mobell-nova-r1-black,mobell
12339,Máy giật lag hay văn ra khỏi các ứng dụng chỉ đc cái pin trâu cảm ứng ko mượt lắm chỉ chơi đc những game nhẹ,1,1,3,nokia-21,nokia
12340,Tạm ổn.pin mau hết. Vỏ dễ bong tróc. Nói chung là sử dụng để phục vụ cơ bản công việc hàng ngày chấp nhận được.,0,0,1,samsung-galaxy-core-prime-g361,samsung
12341,Nếu xài tầm 20 phút máy sẽ bị nóng còn lại đều rất ok. Chụp hình đẹp. Cảm ứng rất nhạy.,1,1,4,samsung-galaxy-a7,samsung
12342,Máy này thì sài ok rồi.tôi sài lâu rồi không lỗi gì hết.chĩ sạc pin hơi lâu thôi.buồn tgdd quá.lúc tôi mua máy này giá 4.490đ.khoãng tuần sau xuống còn 3.690đ hõi thữ ai không buồn không tức chứ,1,1,5,samsung-galaxy-j5-2016,samsung
12343,Rất tốt . E dag xài và cảm thấy thik . Nếu lựa chọn vẫn chọn note 3 neo . Mãi mãi ủng hộ thế giới di động .,1,1,5,samsung-galaxy-note-3-neo,samsung
12344,Sài mọi thứ đều rất OK nhưng chơi game LQ hay giật lag pin thì bt ai thu nhập thấp thì Sài con này cũng đc 😄,1,1,4,itel-s31,itel
12345,"Sp mình đang sử dụng pin tốt, rất hài lòng, rất đáng tiền, sản phẩm nhìn đẹp và màu sắc rất sạng trọng. Nhân viên rất nhiệt tinh. Vui vẻ",1,1,5,iphone-8-plus,iphone
12346,"Máy ổn hài lòng về máy. Nhưng rất không hài lòng về nhân viên dán điện thoại. Dán màn hình mới về sài chưa hết ngày thứ 2 đã bông nguyên miếng dán ra. Mua vào lúc gần 9h tối nên vội, sáng hôm sau xem kỹ mới thấy 2 vết trầy do dao cắt keo dán gây ra. Quá thất vọng đem ra tiệm dán còn hơn. Lúc trước sợ tiệm dán không tốt, bây giờ sợ nhân viên tgdd hơn.",0,0,1,xiaomi-redmi-6,xiaomi
12347,"Sử dụng khá tốt ko bị lag khi chơi game pin trâu, rất đáng với giá tiền mua, ko kém gì iphone",1,1,5,samsung-galaxy-j8,samsung
12348,"Tại sao trong mấy ngày gần đây tôi còn dùng lượng tốc độ cao mà tải các ứng dụng về đt trên CH play ko đc , tuy nhiên vẫn xem phim full HD đc",0,0,1,xiaomi-mi-a2-lite,xiaomi
12349,Pin trâu sài lâu hết màn hình đẹp độ phân giải cao Rất thích thương hiệu samsung k làm mình thật vọng thật mà 😘😘,1,1,5,samsung-galaxy-a30s,samsung
12350,Sản phẩm sử dụng rất tuyệt vời anh chị nhận viên ở đây phục vụ rất chu đáo và nhiệt tình,1,1,5,huawei-y6-prime-2018,huawei
12351,"Sử dụng ản phẩm tốt , dịch vụ tốt, máy chạy mượt , iphone luôn là lực chọn hàng đầu của tôi.",1,1,3,iphone-6s-32gb,iphone
12352,"sản phẩm tốt, cấu hình cao, cảm biến vân tay nhanh nhạy,kiểu dáng thiết kế đẹp. có chút nhược điểm camera lồi dễ trầy xước, chưa được bắt mắt",1,1,5,samsung-galaxy-s6-edge,samsung
12353,"Máy dùng mượt, màn hình kích cỡ vừa dùng không quá lớn, chơi game cực đỉnh. Camera chụp đẹp, nghe nhạc hỗ trợ tốt.",1,1,5,iphone-6s-32gb,iphone
12354,Ảnh rất nhòe khi chụp văn bản tu xa van tay kém song yếu choi gamer thi dc,0,0,1,samsung-galaxy-a50-128gb,samsung
12355,Người bảo dùng tốt người bảo dùng dở.chẳng biết thế nào mà lần. Nói chung mình đang dùng remid note 6pro thấy ok. Còn iphone x mà có người cũng chê thì ko bt sao,1,1,5,xiaomi-mi-8,xiaomi
12356,Mày Sài siêu tốt cảm biến vân tay nhạy chơi game không thấy hiện tượng lag nói chung giảm giá đến thế này là ngon rồi 👍👍👍👍👍,1,1,5,xiaomi-mi-a3,xiaomi
12357,Dù mua dt giá rất thấp nhưng a nhân viên rất nhiệt tình và vui vẻ. Rất hài lòng vs TGDĐ,1,1,5,itel-it2161,itel
12358,Máy sai của được ko nóng cho lắm hơi bám vân tay cho màu den nhưng cũng ổn với mức giá nay rồi,1,1,4,oppo-neo-7s,oppo
12359,"Sao máy tôi mới mua được nữa thág về dùng pin còn 40% thì bắt wifi rất kilems nhiều lúc ko vào được trong khi đoa máy khác vẫn vào bình thường , đây là do máy hay wifi",0,0,1,oppo-f11-pro,oppo
12360,"Không ngờ Y7 prime lại xuất sắc đến vậy,mọi tác vụ đều đáp ứng tốt,phản hồi nhanh...nói chung là rất mượt mà",1,1,5,huawei-y7-prime,huawei
12361,"Xài mọi thứ vẫn rất ổn, chụp hình chân thật, ít bị treo đoe máy như các dòng máy thương hiệu khác, nhân viên tư vấn giới thiệu nhiệt tình",1,1,5,iphone-6-32gb-gold,iphone
12362,"Lâu nay xài iPhone, chuyển thử qua dùng Samsung. Ban đầu định rinh em A5 (2017) mà không đủ lúa nên rinh tạm A3 (2017). Trải nghiệm những ngày đầu đến bây giờ nửa tháng rồi thấy rất ok. Thích nhất khoản pin. 3G bật 12h liền tínhuoon Facebook, Vainglory, Zalo, Zing Mp3 mà đến tối vẫn còn 20%. Chụp hình ban ngày nhanh, bắt nét tốt. Ban đêm hơi bị lag. Selfie thì quả này Samsung làm quá đã. Bạn nào thích tự sướng thì nên chọn :)) Nhân viên TGDD Lý Thường Kiệt - Mỹ Tho - Tiền Giang nhiệt tình dễ thương.",1,1,4,samsung-galaxy-a3-2017,samsung
12363,"Ngoại hình máy rất đẹp , máy mượt , không nóng khi sử dụng Nhân viên phục vụ rất tốt",1,1,5,samsung-galaxy-j6,samsung
12364,"Tôi say đập em A1 4/65G 2 phát hết sức vào tường. Công vẹo, vỡ màn hình. Ra 184 phố Vọng thay kính hết 400k. Vẫn dùng OK. Chơi game 3D hơi chậm nhưng ko nóng máy. Đc cái pin 3k mà trâu hơn con mi note5 pin 4k. Túm lại là hài lòng. Mua con note 5 bản 6/64G dùng thấy còn ko ổn bằng em A1 mới dị",1,1,5,xiaomi-mi-a1,xiaomi
12365,Dùng được. Pin không được như con số 4230 Dùng không được lâu như pin 3000 của Nokia. Công nghệ pin tôi thấy không hãng nào vượt được Nokia. tôi đã dùng Lumia rồi Nokia mới. Pin cực lâu. Pin 3000 dùng 2 năm rồi mà vẫn trâu hơn mấy realme mới.,1,1,3,realme-2,realme
12366,"xài cũng hơn cả tháng nay, đánh giá về pin chưa được như kỳ vọng 5k pin đáng lẽ phải dùng được 2 ngày mà mình dùng được có 1 ngày (nhu cầu 3g, lướt face, chơi game nhẹ). Đối với camera thì khá ổn.",1,1,3,samsung-galaxy-a9-pro,samsung
12367,"Sản phẩm này chỉ có cái pin là vấn đề 4000 mà nhanh hết quá , ko kết nối mạng , lướt máy quan sát mà mất mẹ 2% trong chua đầy 1 phút , như vậy là nhanh lắm , mấy e ở điện máy xanh , Tuấn và nhi cũng hỗ trợ nhiệt tình , nói chung máy tạm được",1,1,3,xiaomi-mi-9t,xiaomi
12368,"Hay quá!!! Realme 2 Pro giảm giá để Realme 3 Pro sắp sửa lên kệ tại TGDD đây mà, hóng Realme 3 Pro từ lúc mới ra chờ thấy mệt mà chưa thấy thông tin gì 😥😥😥",1,1,3,realme-2-pro-4gb-64gb,realme
12369,Sản phẩm mới dùng tạm ổn.pin thì k tốt lắm.sạc k cũng nóng máy .pin tụt hơi nhanh.,1,1,3,xiaomi-mi-a3,xiaomi
12370,Ngoại trừ vân tay quá tệ thì cái j cũng ok . Mình có choi game nhưng game nhẹ nên chưa thấy lỗi lầm j ..nv tgdd tư vấn nhiệt tình ..chu đáo,1,1,4,samsung-galaxy-a70,samsung
12371,Máy thiết kế đẹp khá tinh xảo phù hợp với giá cả . Pin Trâu Loa nghe nhạc khá Hay,1,1,5,itel-it5092,itel
12372,"tốt trong tầm giá, youtube, fb, zalo, game,..... đều mượt, mỗi tội sạc pin bị nóng máy =.=' , ủng hộ mobiistar cho 5 sao",1,1,5,mobiistar-x,mobiistar
12373,"Mới mua cho bà xã xài, nàng thích vô cùng, chụp hình đẹp miễn bàn, màu hồng nữ tính, cầm gọn hơn note 9 mình đang xài, thời lượng pin các bạn khỏi lo nhé, do màn hình fullHD+ thôi không phải 2k như note 9 nên xài lâu hơn cả note9 và đặc biệt không bị nóng khi chơi game lâu. Nếu bạn nào thích màn hình 2k và to hơn thì mua note 10plus chứ mình thấy note10 quá thừa thãi rồi.",1,1,5,samsung-galaxy-note-10,samsung
12374,Khi cập nhân lên andoi 9 có thể mỗi người chưa bít cách chia đôi mang hinh . tôi thấy chia đổi cung bt nha .camera chup vẫn đẹp ko như mỗi người nói cam thấy rất ok,1,1,5,samsung-galaxy-a7-2018-128gb,samsung
12375,Sản phẩm thiết kế đẹp. Màn hình lớn dễ xem. Loa lớn pin cầm lâu. Chính sách bảo hành tốt. Rất hài lòng. TUYỆT VỜI,1,1,5,mobell-m389,mobell
12376,"Máy đẹp. Thiết kế rất bắt mắt, chủ yếu nghe gọi còn chơi gem thì pin mau hết. ( độ sáng khoảng 50% thì mổi phút tụt 1% . - Nhân viên bán hàng còn chậm bắt chờ gần 1 tiếng mới cho lấy máy :(",1,1,5,mobell-nova-f7,mobell
12377,Mới mua dùng rất ok loa nghe to và rõ.pin dùng ok một ngày thoải mái.nói chung ae mua đi k hối hận đâu.,1,1,5,nokia-6,nokia
12378,Tôi xài gần 2 năm rồi máy rất là ok bền bin trâu đời đầu lúc mua giá 6tr3 . cammera chup đẹp .nhưng trước thì chụp hơi xấu . nhân viên phục vụ rất nhiệp tinh qua chu đáo,1,1,5,samsung-galaxy-j7-prime,samsung
12379,Sản phẩm rất tệ .máy rất nóg .cảm ứng không ăn.màn hình màu rất xấu .máy hay đứg .,0,0,1,nokia-21,nokia
12380,"Tôi mua sản phẩm này từ chiều, thấy sản phẩm OK, nhân viên tư vấn nhiệt tình tôi rất thích sản phẩm này",1,1,5,oppo-a5s,oppo
12381,Có thể nói camera tuyệt đỉnh. Galaxy S7 edge chơi gaem thật tuyệt,1,1,5,samsung-galaxy-s7-edge,samsung
12382,"Hoạt động êm không bị nóng máy, sang trọng và nhanh. Đặc biệt cài ứng dụng nặng nhưng máy vẫn không bị lắc",1,1,5,iphone-7-plus-128gb,iphone
12383,"Iphone vẫn đỉnh nhất, thời lượng pin cũng rất trâu. Nhưng giá cả vẫn quá đắt so với sinh viên. Nếu giảm xuống vài triệu nữa thì tốt.",1,1,5,iphone-7-plus-256gb,iphone
12384,"Đang sử dụng F9 Pro, chạy mượt, quay phim chụp ảnh đẹp, sạc nhanh. Tôi hài lòng.",1,1,5,oppo-f9-6gb,oppo
12385,"Hơn 1 ngày sử dụng: Màn hình: to, rộng rãi, full HD chơi game xem phim tuyệt vời luôn Pin: khá là trâu, mức sử dụng bình thường thì 1 ngày sạc 1 lần là quá đủ Camera: khá đẹp, có cái làm đẹp ảo diệu vãi! Máy chơi game khá mượt, chơi lâu máy chỉ ấm lên chút xíu! Nói chung là đáng đồng tiền bât gạo! Nv TGDĐ nhiệt tình, chu đáo!",1,1,5,oppo-f3,oppo
12386,"Mình mua con nokia 2.2 ở thế giới di động hôm 11/7 xài được tháng rưỡi nó vật vãi kinh luôn. Quả thật em nó bị lỗi phần mềm đủ thứ: mất bluetooth,sóng chập chờn, tự bật sáng chói màn hình rồi đơ luôn, tự cập nhật google play tới đơ máy phải reset lại hoài ...chịu hết nổi phải tiễn vong em nó!!! Mình thử con nokia 6.1 plus để mua nhưng cập nhật phần mềm chậm như ốc sên...nokia giờ chỉ là hưởng cái bóng xưa cũ mà thôi.",0,0,1,nokia-22,nokia
12387,"Xài hơn 3 tháng rồi, vẫn ok, có người nói sạc nhanh rồi xài chừng 1 tháng là xuống máy...nhưng máy mình vẫn ok... Do người sử dụng có kĩ hay không thôi chứ thấy con này ổn. 😆",1,1,5,oppo-f9,oppo
12388,"Cấu hình ổn, camera sắc nét, pin liền nguyên khối chắc tay,mặt sau đẹp, nhân viên bán hàng nhiệt tình",1,1,5,oppo-f7-128gb,oppo
12389,Không tốt như mong đợi chơi game không mượt lắm bắn pubg không mượt ấn có khi không đc,0,0,2,realme-2-4gb-64gb,realme
12390,Bảo mật vân tay rất tệ luôn. Cài dc 24h là lại k khớp. Mới mua máy dc 3 ngày . Hazi,0,0,1,samsung-galaxy-a50s,samsung
12391,thiết kế đẹp. nhạy mượt mà.tải game nhanh nữa chụp hình bằng camera trước cũng rất đẹp .hợp thời trang tôi rất thích,1,1,5,mobell-nova-r1-black,mobell
12392,"E vừa mua do 1 tuần thay quảng cáo là camera kép mà chụp hình nhơt nhat wa, thua con F1s nữa",0,0,1,oppo-f3,oppo
12393,Vừa test game xong alphast 8 chơi dc ở mức cao nhất không bị khựng hay lắc....,1,1,5,huawei-y5-2017,huawei
12394,"Dùng đc khoảng 6 tháng thì mìh thấy mọi thứ cũng tốt. Ít lỗi vặt. Giao diện và icon đơn giản đẹp, dể xài. Thích giao diện của itel p51 nhak.. Ít có hãng nào chịu chơi như itel tặng nọ kia bao da này kia với những đt tầm giá dể chịu mà tốt như vậy.. Sẻ ủng hộ hãng này lâu dài vì những đức tính tốt như trên 😘😘😘",1,1,5,itel-p51,itel
12395,Nghe nhạc không được hay cho lắm. Màn hình bấm ít nhạy. Điện thoại chơi game cũng ngon ít lag,1,1,4,mobiistar-lai-yuki,mobiistar
12396,"Mới rước e. Nói chung mua xong thấy OK. Cam đẹp, màn tràn (kh thích giọt nước lắm), nhìu công nghệ, màu sắc lạ mắt,.... Rất ổn",1,1,5,huawei-mate-20,huawei
12397,Sản phẩm sài rất okk pin sài trâu có rất nhiều tiện ích trên máy. Giá cả rất hợp lý.😁😁😁😁😁😁,1,1,5,oppo-a1k,oppo
12398,"Thiết kế nhỏ gọn đẹp, thời lượng pin tương đối chưa tốt lắm, camera chụp ảnh đẹp nhưng ko lấy hết màn hình 16:9 cài thêm ACD see và night photo nữa mới chuẩn dành cho ai thích chụp hình",1,1,4,iphone-7-256gb,iphone
12399,"Máy thiết kế khá đẹp , màn hình độ sáng cao , chip Snap 660 chơi Liên Quân max đồ họa không giật lag gì hết, 8GB/128GB không lo về bộ nhớ, tác vụ bình thường không bị trễ hay lag gì hết, pin xài trung bình 1 ngày, tất cả so với giá bán là rất tốt, về cam thì không sd nhiều nên không quan tâm ^¥^",1,1,5,realme-2-pro,realme
12400,Mình mua dc 1 tháng sài thì êm lắm.sạc pin nhanh mà lâu hết nữa.. Chụp hình bao đẹp mà có cái vân tay hơi chậm không dc nhạy như dòng iphone,1,1,5,samsung-galaxy-a80,samsung
12401,"Mới mua hôm qua, chiếm lq max sting mượt, camera chất, giá vừa mà đẹp. Nhân viên nhiệt tình, đẹp, cute. Good",1,1,5,xiaomi-redmi-4x,xiaomi
12402,"Máy dùng tạm được, chụp hình không được nét lắm. Pin dùng 1h hết 10% không biết có ổn không",1,1,4,samsung-galaxy-a9-2018,samsung
12403,"Mình mới mua con này. Xài rất ngon. chụp hình đẹp. kiểu dáng sang trọng. nói chung đáng giá đồng tiền 7tr, nhân viên phục vụ rất tốt nữa",1,1,5,oppo-f5,oppo
12404,"Sản phầm tương đối oki, pin trâu, sạc nhanh, loa hơi nhỏ, dễ dính dấu tay.... còn chơi game thì không giật lag.... nói chung đáng mua",1,1,5,vivo-v15,vivo
12405,Mới tậu e này về sài củng ok lắm chơi game lq khá ổn. Phin củng bò lắm sài cả ngày. Nhưng màng hình chỉ có HD thui hơi tiếc. Dù sao củng tốt hơn hảng khác trong tầm giá. Nhân viên TGDD tư vấn rât vui và nhiệt tình. Thank,1,1,4,realme-2-4gb-64gb,realme
12406,"Mua được 5 tháng, được biết sản phẩm bị loạn cảm ứng. Nhưng NSX vẫn không có hướng khắc phục. Nên mình cũng không bảo hành. Tình trạng chung năm 2019 nhiều sản phẩm Samsung bị lỗi!",0,0,1,samsung-galaxy-m20,samsung
12407,app còn thiếu nhiều với nhiều cái còn hạn chế như tắt màn hình là tất cả ứng dụng dừng lại như xài line này kia mỗi lần có thông báo mới mở lên phải đợi nó load tin nhắn.,1,1,3,microsoft-lumia-640,microsoft
12408,"chất lượng máy miễn chê . ngon trong tầm giá, pin không được trâu cho làm chắc tại màn hình 2k nhưng nhìn chung chiến game nặng cực kỳ tốt rất đáng để mua",1,1,5,samsung-galaxy-s10-plus-512gb,samsung
12409,"Mình vừa mới mua tối nay xong. Trải nghiệm quá tuyệt vời. Nghe nhạc loa max to. Giáo diện EMUI đẹp, thân thiện.",1,1,5,huawei-y3-2017,huawei
12410,"Máy này tốt, nghe gọi rõ ràng, pin trâu, lướt web, nghe nhạc xem phim, tải game ok. màn hình cũng to, nói chung là tốt quá rồi",1,1,5,nokia-230,nokia
12411,Mua máy được 1 tháng thất vọng tràn trề .. Được cái dáng đẹp.. internet chập chờn.. Pin yếu.. Cảm ứng lúc ăn lúc không.. Khuyên anh em tốt nhất không nên mua con máy này.. Tệ thậm tệ,0,0,1,xiaomi-mi-8-lite-6gb,xiaomi
12412,Tốt nhưng không có cảm biến.tôi thấy rất tuyệt vời..cám ơn thế giới di động nha hjhj mong tgdd càng phát triển hơn nữa,1,1,5,samsung-galaxy-core-prime-g361,samsung
12413,"Camera OK ,sóng 4g và wifi kém , thiết kế khung kim loại và kính sang trọng ! Pin ổn cho tác vụ cơ bản !",1,1,3,samsung-galaxy-a8-star,samsung
12414,Cấu hình oke nhiều phiên bản cập nhập. Máy không bị treo phù hợp với người thu nhập trung bình,1,1,5,samsung-galaxy-note-4,samsung
12415,"iPhone vẫn là điện thoại thời thượng, cầm sang chảnh, sử dụng dễ dàng không có gì là phức tạp.",1,1,4,iphone-7-128gb,iphone
12416,Máy tốt trong tầm giá.đặc biệt cái mình thích nhất là pin trâu sạc nhanh đầy nữa.camera sau chưa ấn tượng cho lắm.còn lại ok hết ko gì phàn nàn cả.test antutu điểm khá cao.,1,1,5,oppo-a83,oppo
